,LBP (Âµg/mL)_bin,Homa_bin,count,label
0,"(1.0, 3.0]","(0.0, 8.0]",21,"(1.0, 3.0]
(0.0, 8.0]
n=21"
15,"(3.0, 4.0]","(0.0, 8.0]",49,"(3.0, 4.0]
(0.0, 8.0]
n=49"
16,"(3.0, 4.0]","(8.0, 15.0]",1,"(3.0, 4.0]
(8.0, 15.0]
n=1"
30,"(4.0, 5.0]","(0.0, 8.0]",78,"(4.0, 5.0]
(0.0, 8.0]
n=78"
31,"(4.0, 5.0]","(8.0, 15.0]",2,"(4.0, 5.0]
(8.0, 15.0]
n=2"
33,"(4.0, 5.0]","(22.0, 30.0]",1,"(4.0, 5.0]
(22.0, 30.0]
n=1"
45,"(5.0, 6.0]","(0.0, 8.0]",81,"(5.0, 6.0]
(0.0, 8.0]
n=81"
46,"(5.0, 6.0]","(8.0, 15.0]",1,"(5.0, 6.0]
(8.0, 15.0]
n=1"
60,"(6.0, 8.0]","(0.0, 8.0]",60,"(6.0, 8.0]
(0.0, 8.0]
n=60"
62,"(6.0, 8.0]","(15.0, 22.0]",1,"(6.0, 8.0]
(15.0, 22.0]
n=1"
75,"(8.0, 9.0]","(0.0, 8.0]",18,"(8.0, 9.0]
(0.0, 8.0]
n=18"
76,"(8.0, 9.0]","(8.0, 15.0]",1,"(8.0, 9.0]
(8.0, 15.0]
n=1"
90,"(9.0, 10.0]","(0.0, 8.0]",13,"(9.0, 10.0]
(0.0, 8.0]
n=13"
105,"(10.0, 11.0]","(0.0, 8.0]",1,"(10.0, 11.0]
(0.0, 8.0]
n=1"
120,"(11.0, 13.0]","(0.0, 8.0]",4,"(11.0, 13.0]
(0.0, 8.0]
n=4"
135,"(13.0, 14.0]","(0.0, 8.0]",1,"(13.0, 14.0]
(0.0, 8.0]
n=1"
164,"(14.0, 15.0]","(102.0, 110.0]",1,"(14.0, 15.0]
(102.0, 110.0]
n=1"
210,"(19.0, 20.0]","(0.0, 8.0]",1,"(19.0, 20.0]
(0.0, 8.0]
n=1"
